age,BA
4,7.512
3,3.19
2,0.933
1,1.319
0.5,1.694
0.5,0.379
12,20.046
7,11.276
5,10.38
18,22.473
12,19.27
14,19.944
5,14.654
4,15.324
4,11.839
23,20.321
17,20.565
7,15.849
24,22.19
22,24.818
4,18.306
5.5,11.52
11,14.524
6,17.099
5,14.057
27,29.329
28,28.595
7,15.29
20,27.684
6,10.917
15,18.129
20,18.893
10,15.647
13,15.948
18,24.602
7,21.727
20,23.038
18,20.464
3,16.187
29,28.42
4,5.497
5,8.079
8.5,21.288
6,11.195
6,5.473
300,33
300,32
80,24.06781
80,25.06834
