,code,Genus,Species,Family,Binomial
89,QUASAM,Quassia,amara,Simaroubaceae,Quassia amara
90,RYANSP,Ryania,speciosa,Flacourtiaceae,Ryania speciosa
91,SAURLA,Saurauia,yasicae,Actinidiaceae,Saurauia yasicae
92,SCH2MO,Schefflera,morototoni,Araliaceae,Schefflera morototoni
93,SENNBA,Senna,bacillaris,Fabaceae,NA
94,SENNHA,Senna,hayesiana,Fabaceae,NA
95,SENNOB,Senna,obtusifolia,Fabaceae,NA
96,SIMAAM,Simarouba,amara,Simaroubaceae,Simarouba amara
97,SIPAGU,Siparuna,guianensis,Monimiaceae,Siparuna guianensis
98,SIPAPA,Siparuna,pauciflora,Monimiaceae,Siparuna pauciflora
99,SOLAAS,Solanum,asperum,Solanaceae,Solanum asperum
100,SOLAHA,Solanum,hayesii,Solanaceae,Solanum hayesii
101,SPONRA,Spondias,radlkoferi,Anacardiaceae,Spondias radlkoferi
102,SWARS1,Swartzia,simplex,Fabaceae:Papil.,Swartzia simplex var.grandiflora
103,SYZYJA,Syzygium,jambos,Myrtaceae,Syzygium jambos
104,TERMAM,Terminalia,amazonia,Combretaceae,Terminalia amazonia
105,TERNTE,Ternstroemia,tepezapote,Theaceae,Ternstroemia tepezapote
106,TET4JO,Tetrathylacium,johansenii,Flacourtiaceae,Tetrathylacium johansenii
107,THEVAH,Thevetia,ahouai,Apocynaceae,Thevetia ahouai
108,TREMMI,Trema,micrantha,Ulmaceae,Trema micrantha
109,TRI4GA,Trichospermum,galeottii,Tiliaceae,Trichospermum galeottii
110,TRIUBO,Triumfetta,bogotensis,Tiliaceae,Triumfetta bogotensis
111,VERNPA,Vernonanthura,patens,Asteraceae,Vernonanthura patens
112,VIROSE,Virola,sebifera,Myristicaceae,Virola sebifera
113,VIROSU,Virola,surinamensis,Myristicaceae,Virola surinamensis
114,VISMBA,Vismia,baccifera,Clusiaceae,Vismia baccifera
115,VISMBI,Vismia,billbergiana,Clusiaceae,Vismia billbergiana
116,VISMMA,Vismia,macrophylla,Clusiaceae,Vismia macrophylla
117,WARSCO,Warszewiczia,coccinea,Rubiaceae,Warszewiczia coccinea
118,XYL1FR,Xylopia,frutescens,Annonaceae,Xylopia frutescens
119,XYL2CH,Xylosma,chlorantha,Flacourtiaceae,Xylosma chlorantha
