Number,Family,Binomial,Wood_density,Region,Reference_number,our_samples,Genus,Species,
9,Pinaceae,Abies alba,0.353,Europe,28,,Abies,alba,
10,Pinaceae,Abies amabilis,0.400,NorthAmerica,7,,Abies,amabilis,
11,Pinaceae,Abies arizonica,0.289,NorthAmerica,118,,Abies,arizonica,
12,Pinaceae,Abies balsamea,0.330,NorthAmerica,7,,Abies,balsamea,
13,Pinaceae,Abies concolor,0.370,NorthAmerica,7,,Abies,concolor,
14,Pinaceae,Abies delavayi,0.400,China,32,,Abies,delavayi,
15,Pinaceae,Abies ernestii,0.360,China,32,,Abies,ernestii,
16,Pinaceae,Abies fabri,0.373,China,33,,Abies,fabri,
17,Pinaceae,Abies fargesii,0.340,China,32,,Abies,fargesii,
18,Pinaceae,Abies faxoniana,0.385,China,33,,Abies,faxoniana,
19,Pinaceae,Abies forrestii,0.350,China,32,,Abies,forrestii,
20,Pinaceae,Abies georgei,0.441,China,33,,Abies,georgei,
21,Pinaceae,Abies georgei,0.425,China,33,,Abies,georgei,
22,Pinaceae,Abies grandis,0.350,NorthAmerica,7,,Abies,grandis,
23,Pinaceae,Abies guatemalensis,0.430,Central America (tropical),116,,Abies,guatemalensis,
24,Pinaceae,Abies holophylla,0.336,China,33,,Abies,holophylla,
25,Pinaceae,Abies lasiocarpa,0.310,NorthAmerica,7,,Abies,lasiocarpa,
26,Pinaceae,Abies magnifica,0.360,NorthAmerica,7,,Abies,magnifica,
27,Pinaceae,Abies nephrolepis,0.331,China,33,,Abies,nephrolepis,
28,Pinaceae,Abies nephrolepis,0.316,China,33,,Abies,nephrolepis,
29,Pinaceae,Abies pindrow,0.380,India,109,,Abies,pindrow,
30,Pinaceae,Abies pinsapo,0.410,Europe,76,,Abies,pinsapo,
31,Pinaceae,Abies procera,0.370,NorthAmerica,7,,Abies,procera,
32,Pinaceae,Abies religiosa,0.380,Mexico,51,,Abies,religiosa,
33,Menispermaceae,Abuta rufescens,0.450,South America (tropical),45,,Abuta,rufescens,
34,Fabaceae,Acacia acradenia,0.904,Australia,90,,Acacia,acradenia,
35,Fabaceae,Acacia acuminata,0.895,Australia,90,,Acacia,acuminata,
36,Fabaceae,Acacia acuminata,1.008,Australia,90,,Acacia,acuminata,
37,Fabaceae,Acacia adsurgens,0.887,Australia,90,,Acacia,adsurgens,
38,Fabaceae,Acacia albicorticata,0.490,South America (tropical),44,,Acacia,albicorticata,
39,Fabaceae,Acacia alleniana,0.560,Australia/PNG (tropical),90,,Acacia,alleniana,
40,Fabaceae,Acacia ampliceps,0.568,Australia,90,,Acacia,ampliceps,
41,Fabaceae,Acacia amythethophylla,1.007,Africa (extratropical),72,,Acacia,amythethophylla,
42,Fabaceae,Acacia aneura,1.033,Australia/PNG (tropical),90,,Acacia,aneura,
43,Fabaceae,Acacia aneura,1.035,Australia,90,,Acacia,aneura,
44,Fabaceae,Acacia aneura,1.019,Australia,90,,Acacia,aneura,
45,Fabaceae,Acacia aneura,0.929,Australia/PNG (tropical),90,,Acacia,aneura,
46,Fabaceae,Acacia aneura,0.861,Australia,90,,Acacia,aneura,
47,Fabaceae,Acacia aneura,0.996,Australia,90,,Acacia,aneura,
48,Fabaceae,Acacia aneura,1.044,Australia,90,,Acacia,aneura,
49,Fabaceae,Acacia aneura,0.920,Australia,58,,Acacia,aneura,
50,Fabaceae,Acacia aneura,0.982,Australia,137,,Acacia,aneura,
51,Fabaceae,Acacia angustissima,0.850,Mexico,23,,Acacia,angustissima,
52,Fabaceae,Acacia arabica,0.860,India,26,,Acacia,arabica,
53,Fabaceae,Acacia aroma,0.808,South America (extratropical),66,,Acacia,aroma,
54,Fabaceae,Acacia atkinsiana,0.890,Australia,90,,Acacia,atkinsiana,
55,Fabaceae,Acacia aulacocarpa,0.581,Australia/PNG (tropical),90,,Acacia,aulacocarpa,
56,Fabaceae,Acacia aulacocarpa,0.612,Australia/PNG (tropical),90,,Acacia,aulacocarpa,
57,Fabaceae,Acacia aulacocarpa,0.594,Australia/PNG (tropical),90,,Acacia,aulacocarpa,
58,Fabaceae,Acacia aulacocarpa,0.689,Australia/PNG (tropical),90,,Acacia,aulacocarpa,
59,Fabaceae,Acacia aulacocarpa,0.860,Australia,90,,Acacia,aulacocarpa,
60,Fabaceae,Acacia aulacocarpa,0.594,Australia/PNG (tropical),27,,Acacia,aulacocarpa,
61,Fabaceae,Acacia auriculiformis,0.680,Australia,58,,Acacia,auriculiformis,
62,Fabaceae,Acacia bakeri,0.771,Australia/PNG (tropical),90,,Acacia,bakeri,
63,Fabaceae,Acacia bidwillii,0.670,Australia/PNG (tropical),90,,Acacia,bidwillii,
64,Fabaceae,Acacia bivenosa,0.650,Australia,90,,Acacia,bivenosa,
65,Fabaceae,Acacia bivenosa,0.620,Australia,90,,Acacia,bivenosa,
66,Fabaceae,Acacia brachystachya,1.010,Australia,90,,Acacia,brachystachya,
67,Fabaceae,Acacia brachystachya,0.970,Australia,90,,Acacia,brachystachya,
68,Fabaceae,Acacia cambagei,1.048,Australia/PNG (tropical),90,,Acacia,cambagei,
69,Fabaceae,Acacia cambagei,1.099,Australia/PNG (tropical),90,,Acacia,cambagei,
70,Fabaceae,Acacia cambagei,1.060,Australia/PNG (tropical),90,,Acacia,cambagei,
71,Fabaceae,Acacia cambagei,1.158,Australia/PNG (tropical),90,,Acacia,cambagei,
72,Fabaceae,Acacia cambagei,1.050,Australia/PNG (tropical),90,,Acacia,cambagei,
73,Fabaceae,Acacia catechu,0.801,South-East Asia (tropical),14,,Acacia,catechu,
74,Fabaceae,Acacia caven,0.765,South America (extratropical),66,,Acacia,caven,
75,Fabaceae,Acacia caven,0.800,South America (tropical),110,,Acacia,caven,
76,Fabaceae,Acacia chisholmii,0.760,Australia/PNG (tropical),90,,Acacia,chisholmii,
77,Fabaceae,Acacia chisholmii,0.827,Australia/PNG (tropical),90,,Acacia,chisholmii,
78,Fabaceae,Acacia chundra,0.980,India,109,,Acacia,chundra,
79,Fabaceae,Acacia citrinoviridis,0.880,Australia,90,,Acacia,citrinoviridis,
80,Fabaceae,Acacia citrinoviridis,0.810,Australia,90,,Acacia,citrinoviridis,
81,Fabaceae,Acacia cochliacantha,0.940,Mexico,23,,Acacia,cochliacantha,
82,Fabaceae,Acacia colei,0.610,Australia,90,,Acacia,colei,
83,Fabaceae,Acacia colei,0.766,Australia,90,,Acacia,colei,
84,Fabaceae,Acacia collinsii,0.800,Central America (tropical),116,,Acacia,collinsii,
