Number,Family,Binomial,Wood_density,Region,Reference_number,our_samples,Genus,Species,
3685,Lauraceae,Cinnamomum parthenoxylon,0.580,South-East Asia (tropical),205,,Cinnamomum,parthenoxylon,
3686,Lauraceae,Cinnamomum porphyrium,0.482,South America (extratropical),48,,Cinnamomum,porphyrium,
3687,Lauraceae,Cinnamomum porphyrium,0.516,South America (extratropical),46,,Cinnamomum,porphyrium,
3688,Lauraceae,Cinnamomum porphyrium,0.470,South America (tropical),77,,Cinnamomum,porphyrium,
3689,Lauraceae,Cinnamomum porrectum,0.435,China,33,,Cinnamomum,porrectum,
3690,Lauraceae,Cinnamomum porrectum,0.411,China,33,,Cinnamomum,porrectum,
3691,Lauraceae,Cinnamomum porrectum,0.496,South-East Asia (tropical),14,,Cinnamomum,porrectum,
3692,Lauraceae,Cinnamomum rhynchophyllum,0.420,South-East Asia (tropical),129,,Cinnamomum,rhynchophyllum,
3693,Lauraceae,Cinnamomum rhynchophyllum,0.490,South-East Asia (tropical),177,,Cinnamomum,rhynchophyllum,
3694,Lauraceae,Cinnamomum ridleyi,0.440,South-East Asia (tropical),43,,Cinnamomum,ridleyi,
3695,Lauraceae,Cinnamomum scortechinii,0.410,South-East Asia (tropical),170,,Cinnamomum,scortechinii,
3696,Lauraceae,Cinnamomum sintok,0.380,South-East Asia (tropical),129,,Cinnamomum,sintok,
3697,Lauraceae,Cinnamomum stereophyllum,0.560,South America (extratropical),114,,Cinnamomum,stereophyllum,
3698,Lauraceae,Cinnamomum subavenium,0.500,South-East Asia (tropical),170,,Cinnamomum,subavenium,
3699,Lauraceae,Cinnamomum tamala,0.640,India,26,,Cinnamomum,tamala,
3700,Lauraceae,Cinnamomum tamala,0.510,South-East Asia (tropical),14,,Cinnamomum,tamala,
3701,Lauraceae,Cinnamomum tavoyanum,0.491,India,135,,Cinnamomum,tavoyanum,
3702,Lauraceae,Cinnamomum tsangii,0.486,China,33,,Cinnamomum,tsangii,
3703,Lauraceae,Cinnamomum tsangii,0.447,China,33,,Cinnamomum,tsangii,
3704,Lauraceae,Cinnamomum velutinum,0.440,South-East Asia (tropical),43,,Cinnamomum,velutinum,
3705,Lauraceae,Cinnamomum verum,0.498,South-East Asia (tropical),14,,Cinnamomum,verum,
3706,Lauraceae,Cinnamomum virens,0.487,Australia/PNG (tropical),90,,Cinnamomum,virens,
3707,Lauraceae,Cinnamomum virens,0.482,Australia/PNG (tropical),90,,Cinnamomum,virens,
3708,Lauraceae,Cinnamomum xanthoneurum,0.290,South-East Asia (tropical),129,,Cinnamomum,xanthoneurum,
3709,Lauraceae,Cinnamomum zeylanicum,0.480,South-East Asia (tropical),16,,Cinnamomum,zeylanicum,
3710,Lauraceae,Cinnamomum zeylanicum,0.430,South-East Asia (tropical),43,,Cinnamomum,zeylanicum,
3711,Meliaceae,Cipadessa fruticosa,0.650,South-East Asia,136,,Cipadessa,fruticosa,
3712,Verbenaceae,Citharexylum affine,0.710,Mexico,23,,Citharexylum,affine,
3713,Verbenaceae,Citharexylum affine,0.650,Mexico,23,,Citharexylum,affine,
3714,Verbenaceae,Citharexylum fruticosum,0.700,South America (tropical),110,,Citharexylum,fruticosum,
3715,Verbenaceae,Citharexylum fruticosum,0.870,South America (tropical),110,,Citharexylum,fruticosum,
3716,Verbenaceae,Citharexylum macrophyllum,0.534,South America (tropical),189,,Citharexylum,macrophyllum,
3717,Verbenaceae,Citharexylum macrophyllum,0.470,South America (tropical),44,,Citharexylum,macrophyllum,
3718,Verbenaceae,Citharexylum spinosum,0.700,Central America (tropical),111,,Citharexylum,spinosum,
3719,Cardiopteridaceae,Citronella apogon,0.494,South America (extratropical),48,,Citronella,apogon,
3720,Cardiopteridaceae,Citronella brassii,0.720,South-East Asia (tropical),129,,Citronella,brassii,
3721,Cardiopteridaceae,Citronella moorei,0.581,Australia/PNG (tropical),90,,Citronella,moorei,
3722,Cardiopteridaceae,Citronella moorei,0.585,Australia,90,,Citronella,moorei,
3723,Cardiopteridaceae,Citronella moorei,0.581,Australia/PNG (tropical),90,,Citronella,moorei,
3724,Cardiopteridaceae,Citronella moorei,0.581,Australia/PNG (tropical),90,,Citronella,moorei,
3725,Cardiopteridaceae,Citronella smythii,0.570,Australia/PNG (tropical),90,,Citronella,smythii,
3726,Cardiopteridaceae,Citronella smythii,0.598,Australia/PNG (tropical),90,,Citronella,smythii,
3727,Cardiopteridaceae,Citronella smythii,0.581,Australia/PNG (tropical),90,,Citronella,smythii,
3728,Cardiopteridaceae,Citronella smythii,0.598,Australia/PNG (tropical),90,,Citronella,smythii,
3729,Cardiopteridaceae,Citronella smythii,0.581,Australia/PNG (tropical),90,,Citronella,smythii,
3730,Rutaceae,Citropsis daweana,0.827,Africa (extratropical),72,,Citropsis,daweana,
3731,Rutaceae,Citrus medica,0.700,South-East Asia,136,,Citrus,medica,
3732,Rutaceae,Citrus sinensis,0.780,India,26,,Citrus,sinensis,
3733,Euphorbiaceae,Claoxylon longifolium,0.350,South-East Asia (tropical),129,,Claoxylon,longifolium,
3734,Euphorbiaceae,Claoxylon polot,0.360,South-East Asia (tropical),129,,Claoxylon,polot,
3735,Moraceae,Clarisia biflora,0.520,Mexico,23,,Clarisia,biflora,
3736,Moraceae,Clarisia biflora,0.475,South America (tropical),165,,Clarisia,biflora,
3737,Moraceae,Clarisia racemosa,0.550,South America (tropical),141,,Clarisia,racemosa,
3738,Moraceae,Clarisia racemosa,0.590,South America (tropical),35,,Clarisia,racemosa,
3739,Moraceae,Clarisia racemosa,0.725,South America (tropical),115,,Clarisia,racemosa,
3740,Moraceae,Clarisia racemosa,0.495,South America (tropical),184,,Clarisia,racemosa,
3741,Moraceae,Clarisia racemosa,0.590,South America (tropical),20,,Clarisia,racemosa,
3742,Moraceae,Clarisia racemosa,0.460,South America (tropical),91,,Clarisia,racemosa,
3743,Moraceae,Clarisia racemosa,0.530,South America (tropical),15,,Clarisia,racemosa,
3744,Moraceae,Clarisia racemosa,0.637,South America (tropical),189,,Clarisia,racemosa,
3745,Moraceae,Clarisia racemosa,0.420,South America (tropical),204,,Clarisia,racemosa,
3746,Moraceae,Clarisia racemosa,0.560,South America (tropical),41,,Clarisia,racemosa,
3747,Moraceae,Clarisia racemosa,0.900,South America (tropical),56,,Clarisia,racemosa,
3748,Moraceae,Clarisia racemosa,0.610,South America (tropical),77,,Clarisia,racemosa,
3749,Moraceae,Clarisia racemosa,0.470,South America (tropical),44,,Clarisia,racemosa,
3750,Moraceae,Clarisia racemosa,0.620,South America (tropical),138,,Clarisia,racemosa,
3751,Moraceae,Clarisia racemosa,0.510,South America (tropical),138,,Clarisia,racemosa,
3752,Moraceae,Clarisia racemosa,0.637,South America (tropical),165,,Clarisia,racemosa,
3753,Moraceae,Clarisia racemosa,0.590,South America (tropical),92,,Clarisia,racemosa,
3754,Moraceae,Clarisia racemosa,0.580,South America (tropical),88,,Clarisia,racemosa,
3755,Moraceae,Clarisia racemosa,0.600,South America (tropical),89,,Clarisia,racemosa,
3756,Moraceae,Clarisia racemosa,0.590,South America (tropical),47,,Clarisia,racemosa,
3757,Moraceae,Clarisia racemosa,0.630,South America (tropical),188,,Clarisia,racemosa,
3758,Fabaceae,Clathrotropis brachypetala,0.947,South America (tropical),30,,Clathrotropis,brachypetala,
3759,Fabaceae,Clathrotropis brachypetala,0.670,South America (tropical),45,,Clathrotropis,brachypetala,
3760,Fabaceae,Clathrotropis brunnea,0.820,South America (tropical),141,,Clathrotropis,brunnea,
3761,Fabaceae,Clathrotropis brunnea,0.710,South America (tropical),44,,Clathrotropis,brunnea,
3762,Fabaceae,Clathrotropis indet,0.880,South America (tropical),36,,Clathrotropis,indet,
3763,Fabaceae,Clathrotropis macrocarpa,0.710,South America (tropical),44,,Clathrotropis,macrocarpa,
3764,Rutaceae,Clausena anisata,0.482,Africa (extratropical),72,,Clausena,anisata,
3765,Euphorbiaceae,Cleidion javanicum,0.450,South-East Asia (tropical),129,,Cleidion,javanicum,
3766,Euphorbiaceae,Cleidion prealtum,0.390,South America (tropical),44,,Cleidion,prealtum,
3767,Euphorbiaceae,Cleidion spiciflorum,0.710,South-East Asia (tropical),43,,Cleidion,spiciflorum,
3768,Phyllanthaceae,Cleistanthus mildbraedii,0.921,Africa (tropical),85,,Cleistanthus,mildbraedii,
3769,Phyllanthaceae,Cleistanthus myrianthus,0.580,South-East Asia (tropical),129,,Cleistanthus,myrianthus,
3770,Phyllanthaceae,Cleistanthus myrianthus,0.490,South-East Asia (tropical),43,,Cleistanthus,myrianthus,
3771,Phyllanthaceae,Cleistanthus schlechteri,0.633,Africa (extratropical),72,,Cleistanthus,schlechteri,
3772,Phyllanthaceae,Cleistanthus subglaucus,0.530,South-East Asia (tropical),126,,Cleistanthus,subglaucus,
3773,Phyllanthaceae,Cleistanthus sumatranus,0.580,South-East Asia (tropical),129,,Cleistanthus,sumatranus,
3774,Phyllanthaceae,Cleistanthus sumatranus,0.700,South-East Asia (tropical),177,,Cleistanthus,sumatranus,
3775,Myrtaceae,Cleistocalyx conspersipunctatus,0.430,South-East Asia (tropical),126,,Cleistocalyx,conspersipunctatus,
3776,Myrtaceae,Cleistocalyx ellipticus,0.760,Oceania,9,,Cleistocalyx,ellipticus,
3777,Myrtaceae,Cleistocalyx eugenioides,0.760,Oceania,9,,Cleistocalyx,eugenioides,
3778,Myrtaceae,Cleistocalyx gustavioides,0.594,Australia/PNG (tropical),90,,Cleistocalyx,gustavioides,
3779,Myrtaceae,Cleistocalyx longiflorus,0.760,Oceania,9,,Cleistocalyx,longiflorus,
3780,Annonaceae,Cleistopholis glauca,0.264,Africa (tropical),147,,Cleistopholis,glauca,
3781,Annonaceae,Cleistopholis glauca,0.303,Africa (tropical),147,,Cleistopholis,glauca,
3782,Annonaceae,Cleistopholis glauca,0.304,Africa (tropical),147,,Cleistopholis,glauca,
3783,Annonaceae,Cleistopholis glauca,0.325,Africa (tropical),147,,Cleistopholis,glauca,
3784,Annonaceae,Cleistopholis glauca,0.350,Africa (tropical),147,,Cleistopholis,glauca,
3785,Annonaceae,Cleistopholis patens,0.350,Africa (tropical),136,,Cleistopholis,patens,
3786,Annonaceae,Cleistopholis patens,0.373,Africa (tropical),85,,Cleistopholis,patens,
3787,Annonaceae,Cleistopholis patens,0.258,Africa (tropical),98,,Cleistopholis,patens,
3788,Annonaceae,Cleistopholis patens,0.361,Africa (tropical),137,,Cleistopholis,patens,
3789,Lamiaceae,Clerodendrum disparifolium,0.540,South-East Asia (tropical),43,,Clerodendrum,disparifolium,
3790,Lamiaceae,Clerodendrum glabrum,0.607,Africa (extratropical),72,,Clerodendrum,glabrum,
3791,Clethraceae,Clethra lanata,0.550,South-East Asia,136,,Clethra,lanata,
3792,Clethraceae,Clethra mexicana,0.550,South America (tropical),204,,Clethra,mexicana,
3793,Clethraceae,Clethra ovalifolia,0.490,South America (tropical),44,,Clethra,ovalifolia,
3794,Clethraceae,Clethra scabra,0.530,South America (extratropical),114,,Clethra,scabra,
3795,Clethraceae,Clethra scabra,0.442,South America (extratropical),48,,Clethra,scabra,
3796,Clethraceae,Clethra sumatrana,0.620,South-East Asia (tropical),129,,Clethra,sumatrana,
3797,Theaceae,Cleyera japonica,0.536,China,33,,Cleyera,japonica,
3798,Theaceae,Cleyera japonica,0.558,China,33,,Cleyera,japonica,
3799,Theaceae,Cleyera theaeoides,0.630,Central America (tropical),116,,Cleyera,theaeoides,
3800,Clusiaceae,Clusia alata,0.560,South America (tropical),44,,Clusia,alata,
3801,Clusiaceae,Clusia cambessedii,0.560,South America (tropical),44,,Clusia,cambessedii,
3802,Clusiaceae,Clusia fockeana,0.650,South America (tropical),45,,Clusia,fockeana,
3803,Clusiaceae,Clusia gundlachii,0.900,Central America (tropical),111,,Clusia,gundlachii,
3804,Clusiaceae,Clusia insignis,0.560,South America (tropical),44,,Clusia,insignis,
3805,Clusiaceae,Clusia krugiana,0.900,Central America (tropical),111,,Clusia,krugiana,
3806,Clusiaceae,Clusia rosea,0.670,South America (tropical),141,,Clusia,rosea,
3807,Clusiaceae,Clusia rosea,0.540,Central America (tropical),116,,Clusia,rosea,
3808,Sapindaceae,Cnesmocarpon dasyantha,0.758,Australia/PNG (tropical),90,,Cnesmocarpon,dasyantha,
3809,Euphorbiaceae,Cnidoscolus multilobus,0.290,Mexico,23,,Cnidoscolus,multilobus,
3810,Euphorbiaceae,Cnidoscolus phyllacanthus,0.550,South America (extratropical),114,,Cnidoscolus,phyllacanthus,
3811,Euphorbiaceae,Cnidoscolus pubescens,0.440,South America (extratropical),114,,Cnidoscolus,pubescens,
3812,Polygonaceae,Coccoloba acuminata,0.580,South America (tropical),44,,Coccoloba,acuminata,
3813,Polygonaceae,Coccoloba barbadensis,0.710,Mexico,23,,Coccoloba,barbadensis,
3814,Polygonaceae,Coccoloba barbadensis,0.700,Mexico,23,,Coccoloba,barbadensis,
3815,Polygonaceae,Coccoloba caracasana,0.430,Central America (tropical),116,,Coccoloba,caracasana,
3816,Polygonaceae,Coccoloba densifrons,0.580,South America (tropical),44,,Coccoloba,densifrons,
3817,Polygonaceae,Coccoloba diversifolia,0.800,Central America (tropical),111,,Coccoloba,diversifolia,
3818,Polygonaceae,Coccoloba latifolia,0.580,South America (tropical),44,,Coccoloba,latifolia,
3819,Polygonaceae,Coccoloba lehmannii,0.580,South America (tropical),44,,Coccoloba,lehmannii,
3820,Polygonaceae,Coccoloba liebmannii,0.800,Mexico,23,,Coccoloba,liebmannii,
3821,Polygonaceae,Coccoloba mollis,0.830,South America (extratropical),114,,Coccoloba,mollis,
3822,Polygonaceae,Coccoloba mollis,0.520,South America (tropical),45,,Coccoloba,mollis,
3823,Polygonaceae,Coccoloba padiformis,0.800,Central America (tropical),116,,Coccoloba,padiformis,
3824,Polygonaceae,Coccoloba pubescens,1.000,Central America (tropical),111,,Coccoloba,pubescens,
3825,Polygonaceae,Coccoloba swartzii,0.700,Central America (tropical),111,,Coccoloba,swartzii,
3826,Polygonaceae,Coccoloba uvifera,0.700,Central America (tropical),111,,Coccoloba,uvifera,
3827,Bixaceae,Cochlospermum gossypium,0.270,India,26,,Cochlospermum,gossypium,
3828,Bixaceae,Cochlospermum orinocense,0.224,South America (tropical),52,,Cochlospermum,orinocense,
3829,Bixaceae,Cochlospermum religiosum,0.234,South-East Asia (tropical),14,,Cochlospermum,religiosum,
3833,Gyrostemonaceae,Codonocarpus attenuatus,0.331,Australia/PNG (tropical),90,,Codonocarpus,attenuatus,
3834,Gyrostemonaceae,Codonocarpus attenuatus,0.307,Australia/PNG (tropical),90,,Codonocarpus,attenuatus,
3835,Gyrostemonaceae,Codonocarpus attenuatus,0.331,Australia/PNG (tropical),90,,Codonocarpus,attenuatus,
3836,Gyrostemonaceae,Codonocarpus cotinifolius,0.375,Australia,90,,Codonocarpus,cotinifolius,
3837,Myristicaceae,Coelocaryon klainei,0.534,Africa (tropical),179,,Coelocaryon,klainei,
3838,Myristicaceae,Coelocaryon oxycarpum,0.450,Africa (tropical),136,,Coelocaryon,oxycarpum,
3839,Myristicaceae,Coelocaryon oxycarpum,0.439,Africa (tropical),98,,Coelocaryon,oxycarpum,
3840,Myristicaceae,Coelocaryon oxycarpum,0.465,Africa (tropical),137,,Coelocaryon,oxycarpum,
3841,Myristicaceae,Coelocaryon preussii,0.500,Africa (tropical),136,,Coelocaryon,preussii,
3842,Myristicaceae,Coelocaryon preussii,0.517,Africa (tropical),1,,Coelocaryon,preussii,
3843,Myristicaceae,Coelocaryon preussii,0.588,Africa (tropical),85,,Coelocaryon,preussii,
3844,Myristicaceae,Coelocaryon preussii,0.582,Africa (tropical),79,,Coelocaryon,preussii,
3845,Myristicaceae,Coelocaryon preussii,0.559,Africa (tropical),98,,Coelocaryon,preussii,
3846,Myristicaceae,Coelocaryon preussii,0.516,Africa (tropical),137,,Coelocaryon,preussii,
3847,Myristicaceae,Coelocaryon preussii,0.374,Africa (tropical),147,,Coelocaryon,preussii,
3848,Myristicaceae,Coelocaryon preussii,0.407,Africa (tropical),147,,Coelocaryon,preussii,
3849,Myristicaceae,Coelocaryon preussii,0.409,Africa (tropical),147,,Coelocaryon,preussii,
3850,Myristicaceae,Coelocaryon preussii,0.413,Africa (tropical),147,,Coelocaryon,preussii,
3851,Myristicaceae,Coelocaryon preussii,0.435,Africa (tropical),147,,Coelocaryon,preussii,
3852,Myristicaceae,Coelocaryon preussii,0.456,Africa (tropical),147,,Coelocaryon,preussii,
3853,Myristicaceae,Coelocaryon preussii,0.485,Africa (tropical),147,,Coelocaryon,preussii,
3854,Myristicaceae,Coelocaryon preussii,0.495,Africa (tropical),147,,Coelocaryon,preussii,
3855,Myristicaceae,Coelocaryon preussii,0.506,Africa (tropical),147,,Coelocaryon,preussii,
3856,Myristicaceae,Coelocaryon preussii,0.526,Africa (tropical),147,,Coelocaryon,preussii,
3857,Myristicaceae,Coelocaryon preussii,0.502,Africa (tropical),147,,Coelocaryon,preussii,
3858,Myristicaceae,Coelocaryon preussii,0.557,Africa (tropical),147,,Coelocaryon,preussii,
3859,Myristicaceae,Coelocaryon preussii,0.583,Africa (tropical),147,,Coelocaryon,preussii,
3860,Malvaceae,Coelostegia borneensis,0.580,South-East Asia (tropical),170,,Coelostegia,borneensis,
3861,Malvaceae,Coelostegia griffithii,0.590,South-East Asia (tropical),130,,Coelostegia,griffithii,
3862,Malvaceae,Coelostegia griffithii,0.560,South-East Asia (tropical),170,,Coelostegia,griffithii,
3863,Malvaceae,Coelostegia griffithii,0.610,South-East Asia (tropical),43,,Coelostegia,griffithii,
3864,Rubiaceae,Coffea arabica,0.620,Africa (extratropical),72,,Coffea,arabica,
3865,Rubiaceae,Coffea zanguebariae,0.646,Africa (extratropical),72,,Coffea,zanguebariae,
3866,Malvaceae,Cola acuminata,0.500,Africa (tropical),136,,Cola,acuminata,
3867,Malvaceae,Cola acuminata,0.507,Africa (tropical),98,,Cola,acuminata,
3868,Malvaceae,Cola acuminata,0.516,Africa (tropical),137,,Cola,acuminata,
3869,Malvaceae,Cola buntingii,0.714,Africa (tropical),98,,Cola,buntingii,
3870,Malvaceae,Cola cordifolia,0.523,Africa (tropical),85,,Cola,cordifolia,
3871,Malvaceae,Cola gigantea,0.480,Africa (tropical),85,,Cola,gigantea,
3872,Malvaceae,Cola greenwayi,0.620,Africa (extratropical),124,,Cola,greenwayi,
3873,Malvaceae,Cola greenwayi,0.771,Africa (extratropical),72,,Cola,greenwayi,
3874,Malvaceae,Cola indet,0.738,Africa (tropical),85,,Cola,indet,
3875,Malvaceae,Cola lateritia,0.507,Africa (tropical),98,,Cola,lateritia,
3876,Malvaceae,Cola natalensis,0.738,Africa (tropical),85,,Cola,natalensis,
3877,Malvaceae,Colona celebica,0.340,South-East Asia (tropical),129,,Colona,celebica,
3878,Malvaceae,Colona javanica,0.380,South-East Asia (tropical),16,,Colona,javanica,
3879,Malvaceae,Colona scabra,0.340,South-East Asia (tropical),129,,Colona,scabra,
3880,Malvaceae,Colona serratifolia,0.380,South-East Asia (tropical),129,,Colona,serratifolia,
3881,Malvaceae,Colona thorelii,0.353,South-East Asia (tropical),13,,Colona,thorelii,
3882,Fabaceae,Colophospermum mopane,0.904,Africa (tropical),1,,Colophospermum,mopane,
3883,Rhamnaceae,Colubrina arborescens,0.700,South America (tropical),110,,Colubrina,arborescens,
3884,Rhamnaceae,Colubrina elliptica,0.800,Central America (tropical),111,,Colubrina,elliptica,
3885,Rhamnaceae,Colubrina faralaotra,0.651,Madagascar,147,,Colubrina,faralaotra,
3886,Rhamnaceae,Colubrina faralaotra,0.743,Madagascar,147,,Colubrina,faralaotra,
3887,Rhamnaceae,Colubrina faralaotra,0.647,Madagascar,147,,Colubrina,faralaotra,
3888,Rhamnaceae,Colubrina glandulosa,0.920,South America (extratropical),114,,Colubrina,glandulosa,
3889,Rhamnaceae,Colubrina glandulosa,0.646,South America (tropical),189,,Colubrina,glandulosa,
3890,Rhamnaceae,Colubrina glandulosa,0.650,South America (tropical),44,,Colubrina,glandulosa,
3891,Rhamnaceae,Colubrina heteroneura,0.970,Mexico,23,,Colubrina,heteroneura,
3892,Rhamnaceae,Colubrina papuana,0.800,South-East Asia (tropical),129,,Colubrina,papuana,
3893,Rhamnaceae,Colubrina papuana,0.809,Australia/PNG (tropical),27,,Colubrina,papuana,
3894,Rhamnaceae,Colubrina spinosa,0.495,Central America (tropical),167,,Colubrina,spinosa,
3895,Rhamnaceae,Colubrina triflora,0.860,Mexico,23,,Colubrina,triflora,
3896,Anisophylleaceae,Combretocarpus rotundatus,0.610,South-East Asia (tropical),129,,Combretocarpus,rotundatus,
3897,Anisophylleaceae,Combretocarpus rotuodatus,0.610,South-East Asia (tropical),43,,Combretocarpus,rotuodatus,
3898,Combretaceae,Combretum apiculatum,0.870,Africa (extratropical),72,,Combretum,apiculatum,
3899,Combretaceae,Combretum binderianum,0.800,South-East Asia,136,,Combretum,binderianum,
3900,Combretaceae,Combretum elaeagnoides,0.857,Africa (extratropical),72,,Combretum,elaeagnoides,
3901,Combretaceae,Combretum erythrophyllum,0.603,Africa (extratropical),72,,Combretum,erythrophyllum,
3902,Combretaceae,Combretum fragrans,0.646,Africa (extratropical),72,,Combretum,fragrans,
3903,Combretaceae,Combretum glutinosum,0.900,Africa (tropical),192,,Combretum,glutinosum,
3904,Combretaceae,Combretum hereroense,0.814,Africa (extratropical),72,,Combretum,hereroense,
3905,Combretaceae,Combretum imberbe,1.059,Africa (extratropical),72,,Combretum,imberbe,
3906,Combretaceae,Combretum leprosum,0.680,South America (extratropical),114,,Combretum,leprosum,
3907,Combretaceae,Combretum leprosum,0.580,South America (tropical),44,,Combretum,leprosum,
3908,Combretaceae,Combretum molle,0.758,Africa (extratropical),72,,Combretum,molle,
3909,Combretaceae,Combretum schumannii,0.929,Africa (tropical),137,,Combretum,schumannii,
3910,Malvaceae,Commersonia bartramia,0.431,Australia/PNG (tropical),90,,Commersonia,bartramia,
3911,Malvaceae,Commersonia bartramia,0.431,Australia/PNG (tropical),90,,Commersonia,bartramia,
3912,Malvaceae,Commersonia bartramia,0.340,South-East Asia (tropical),129,,Commersonia,bartramia,
3913,Burseraceae,Commiphora africana,0.276,Africa (extratropical),72,,Commiphora,africana,
3914,Burseraceae,Commiphora barorum,0.346,Madagascar,147,,Commiphora,barorum,
3915,Burseraceae,Commiphora caerulea,0.370,Africa (extratropical),72,,Commiphora,caerulea,
3916,Burseraceae,Commiphora edulis,0.646,Africa (extratropical),72,,Commiphora,edulis,
3917,Burseraceae,Commiphora indet,0.320,Madagascar,147,,Commiphora,indet,
3918,Burseraceae,Commiphora indet,0.320,Madagascar,147,,Commiphora,indet,
3919,Burseraceae,Commiphora indet,0.328,Madagascar,147,,Commiphora,indet,
3920,Burseraceae,Commiphora indet,0.333,Madagascar,147,,Commiphora,indet,
3921,Burseraceae,Commiphora indet,0.365,Madagascar,147,,Commiphora,indet,
3922,Burseraceae,Commiphora indet,0.370,Madagascar,147,,Commiphora,indet,
3923,Burseraceae,Commiphora indet,0.380,Madagascar,147,,Commiphora,indet,
3924,Burseraceae,Commiphora indet,0.416,Madagascar,147,,Commiphora,indet,
3925,Burseraceae,Commiphora leptophloeos,0.430,South America (extratropical),114,,Commiphora,leptophloeos,
3926,Burseraceae,Commiphora marlothii,0.456,Africa (extratropical),72,,Commiphora,marlothii,
3927,Burseraceae,Commiphora mollis,0.370,Africa (extratropical),72,,Commiphora,mollis,
3928,Burseraceae,Commiphora pterocarpa,0.369,Madagascar,147,,Commiphora,pterocarpa,
3929,Anacardiaceae,Comocladia engleriana,0.790,Mexico,23,,Comocladia,engleriana,
3930,Euphorbiaceae,Conceveiba guianensis,0.538,South America (tropical),198,,Conceveiba,guianensis,
3931,Euphorbiaceae,Conceveiba guianensis,0.585,South America (tropical),57,,Conceveiba,guianensis,
3932,Euphorbiaceae,Conceveiba guianensis,0.580,South America (tropical),45,,Conceveiba,guianensis,
3933,Euphorbiaceae,Conceveiba guianensis,0.470,South America (tropical),44,,Conceveiba,guianensis,
3934,Euphorbiaceae,Conceveiba martiana,0.430,South America (tropical),44,,Conceveiba,martiana,
3935,Euphorbiaceae,Conceveiba pleiostemona,0.266,Central America (tropical),167,,Conceveiba,pleiostemona,
3936,Connaraceae,Connarus griffithii,0.550,South-East Asia (tropical),177,,Connarus,griffithii,
3937,Connaraceae,Connarus suberosus,0.450,South America (extratropical),114,,Connarus,suberosus,
3938,Combretaceae,Conocarpus erectus,1.000,Central America (tropical),111,,Conocarpus,erectus,
3939,Combretaceae,Conocarpus erectus,0.690,NorthAmerica,6,,Conocarpus,erectus,
3940,Fabaceae,Copaifera aromatica,0.620,Central America (tropical),113,,Copaifera,aromatica,
3941,Fabaceae,Copaifera duckei,0.620,South America (tropical),141,,Copaifera,duckei,
3942,Fabaceae,Copaifera duckei,0.600,South America (tropical),44,,Copaifera,duckei,
3943,Fabaceae,Copaifera duckei,0.640,South America (tropical),88,,Copaifera,duckei,
3944,Fabaceae,Copaifera guyanensis,0.715,South America (tropical),30,,Copaifera,guyanensis,
3945,Fabaceae,Copaifera guyanensis,0.520,South America (tropical),45,,Copaifera,guyanensis,
3946,Fabaceae,Copaifera indet,0.550,South America (tropical),36,,Copaifera,indet,
3947,Fabaceae,Copaifera indet,0.480,South America (tropical),138,,Copaifera,indet,
3948,Fabaceae,Copaifera langsdorffii,0.700,South America (extratropical),114,,Copaifera,langsdorffii,
3949,Fabaceae,Copaifera langsdorffii,0.600,South America (tropical),44,,Copaifera,langsdorffii,
3950,Fabaceae,Copaifera mildbraedii,0.650,Africa (tropical),136,,Copaifera,mildbraedii,
3951,Fabaceae,Copaifera mildbraedii,0.663,Africa (tropical),85,,Copaifera,mildbraedii,
3952,Fabaceae,Copaifera mildbraedii,0.671,Africa (tropical),137,,Copaifera,mildbraedii,
3953,Fabaceae,Copaifera mildbraedii,0.655,Africa (tropical),147,,Copaifera,mildbraedii,
3954,Fabaceae,Copaifera multijuga,0.800,South America (tropical),115,,Copaifera,multijuga,
3955,Fabaceae,Copaifera multijuga,0.310,South America (tropical),204,,Copaifera,multijuga,
3956,Fabaceae,Copaifera multijuga,0.500,South America (tropical),41,,Copaifera,multijuga,
3957,Fabaceae,Copaifera multijuga,0.750,South America (tropical),56,,Copaifera,multijuga,
3958,Fabaceae,Copaifera multijuga,0.850,South America (tropical),56,,Copaifera,multijuga,
3959,Fabaceae,Copaifera multijuga,0.300,South-East Asia,181,,Copaifera,multijuga,
3960,Fabaceae,Copaifera officinalis,0.590,South America (tropical),141,,Copaifera,officinalis,
3961,Fabaceae,Copaifera officinalis,0.610,South America (tropical),20,,Copaifera,officinalis,
3962,Fabaceae,Copaifera officinalis,0.700,South America (tropical),95,,Copaifera,officinalis,
3963,Fabaceae,Copaifera officinalis,0.600,South America (tropical),44,,Copaifera,officinalis,
3964,Fabaceae,Copaifera officinalis,0.636,Africa (tropical),79,,Copaifera,officinalis,
3965,Fabaceae,Copaifera palustris,0.560,South-East Asia (tropical),170,,Copaifera,palustris,
3966,Fabaceae,Copaifera pubiflora,0.715,South America (tropical),189,,Copaifera,pubiflora,
3967,Fabaceae,Copaifera pubiflora,0.560,South America (tropical),138,,Copaifera,pubiflora,
3968,Fabaceae,Copaifera religiosa,0.523,Africa (tropical),85,,Copaifera,religiosa,
3969,Fabaceae,Copaifera religiosa,0.490,Africa (tropical),147,,Copaifera,religiosa,
3970,Fabaceae,Copaifera religiosa,0.524,Africa (tropical),182,,Copaifera,religiosa,
3971,Fabaceae,Copaifera reticulata,0.620,South America (tropical),41,,Copaifera,reticulata,
3972,Fabaceae,Copaifera reticulata,0.600,South America (tropical),77,,Copaifera,reticulata,
3973,Fabaceae,Copaifera reticulata,0.600,South America (tropical),44,,Copaifera,reticulata,
