ORDER,Fixer,GENUS$,SPECIES$,Species.Name,FAMILY$,WSG,SEEDMASS,HEIGHT,LMA,RGR95SAP,RGR90SAP,RGRAVGSAP,N_RGRSAP,MRT25SAP,MRT50SAP,MRTALLSAP,N_MRTALLSAP,RGR95TRE,RGR90TRE,RGRAVGTRE,N_RGRTRE,MRT25TRE,MRT50TRE,MRTALLTRE,N_MRTALLTRE
29,n,Licania,platypus,Licania platypus,Chrysobalana,0.682,4.50296,19.2,70.1,0.101,0.076,0.027,1103,21.5,20,15.1,900,-99,-99,-99,-99,-99,-99,-99,-99
30,n,Calophyllum,longifolium,Calophyllum longifolium,Clusiaceae,0.541,1.95011,36.4,85.6,0.131,0.1,0.04,3052,24.6,20.1,14.9,2233,0.049,0.041,0.0155,221,47.8,37,22.2,185
31,n,Chrysochlamy,eclipes,Chrysochlamy eclipes,Clusiaceae,0.507,0.100268,7.6,87.9,0.091,0.065,0.022,1511,14,12.9,9.1,1239,-99,-99,-99,-99,-99,-99,-99,-99
32,n,Garcinia,intermedia,Garcinia intermedia,Clusiaceae,0.654,0.541,15.9,102.2,0.097,0.074,0.029,17020,9.4,8.6,7,13486,0.031,0.026,0.0103,392,17.8,15.1,10.2,294
33,n,Garcinia,madruno,Garcinia madruno,Clusiaceae,0.649,-99,16.4,105.1,0.11,0.089,0.035,1804,22,17.2,22,1490,-99,-99,-99,-99,-99,-99,-99,-99
34,n,Symphonia,globulifera,Symphonia globulifera,Clusiaceae,0.545,1.02895,28,57.9,0.116,0.099,0.043,498,18,20.4,16.4,403,-99,-99,-99,-99,-99,-99,-99,-99
35,n,Terminalia,oblonga,Terminalia oblonga,Combretaceae,0.634,-99,35.4,29.5,-99,-99,-99,-99,-99,-99,-99,-99,0.059,0.041,0.0177,153,6.5,7.9,5.5,127
36,n,Sloanea,terniflora,Sloanea terniflora,Elaeocarpace,0.815,-99,34.1,54.1,0.079,0.055,0.017,1767,12.2,10.1,9.2,1471,0.034,0.021,0.0074,342,14.1,11.3,7.4,285
37,n,Erythroxylum,macrophyllum,Erythroxylum macrophyllum,Erythroxylac,0.643,-99,12.9,90.4,0.111,0.083,0.028,938,36.6,34.1,27,788,-99,-99,-99,-99,-99,-99,-99,-99
38,n,Erythroxylum,panamense,Erythroxylum panamense,Erythroxylac,0.703,0.015756,7.6,45.8,0.094,0.074,0.025,441,17.1,17.1,13.4,352,-99,-99,-99,-99,-99,-99,-99,-99
39,n,Acalypha,diversifolia,Acalypha diversifolia,Euphorbiacea,0.501,-99,6.3,41.6,0.195,0.149,0.061,2246,63.8,60,49.5,1991,-99,-99,-99,-99,-99,-99,-99,-99
40,n,Adelia,triloba,Adelia triloba,Euphorbiacea,0.648,-99,13.2,37.6,0.171,0.119,0.042,333,51,44.7,35.4,305,0.036,0.026,0.0066,425,28.9,23.5,14.5,359
41,n,Alchornea,costaricensi,Alchornea costaricensi,Euphorbiacea,0.393,0.019603,19.2,61.2,-99,-99,-99,-99,-99,-99,-99,-99,0.073,0.053,0.018,650,23.1,16.5,10.4,521
42,n,Croton,billbergianu,Croton billbergianu,Euphorbiacea,0.478,-99,20.5,35,0.34,0.269,0.117,810,79.8,74.2,60.1,716,0.08,0.068,0.0325,203,78.6,72.9,59.1,171
43,n,Drypetes,standleyi,Drypetes standleyi,Euphorbiacea,0.618,0.067596,28.7,80.1,0.098,0.076,0.027,7060,14.3,12.6,9.5,5773,0.041,0.034,0.0146,1211,10.3,6.3,4.2,930
44,n,Hieronyma,alchorneoide,Hieronyma alchorneoide,Euphorbiacea,0.585,0.00096,34.3,35.2,-99,-99,-99,-99,-99,-99,-99,-99,0.064,0.039,0.0178,165,12.1,6,3,135
45,n,Hura,crepitans,Hura crepitans,Euphorbiacea,-99,-99,35,27.6,-99,-99,-99,-99,-99,-99,-99,-99,0.047,0.033,0.0123,432,5.8,4.1,2.9,345
46,n,Prioria,copaifera,Prioria copaifera,Fabaceae,0.391,22.869184,35.5,77.8,0.105,0.079,0.028,3837,8.8,8,5.6,3167,0.054,0.042,0.018,1554,9.6,5.8,3.1,1216
47,y,Inga,acuminata,Inga acuminata,Fabaceae,0.321,-99,13.3,47.7,0.169,0.14,0.062,1016,23.4,15.2,9.6,790,-99,-99,-99,-99,-99,-99,-99,-99
48,y,Inga,marginata,Inga marginata,Fabaceae,0.486,-99,24.3,52.2,0.223,0.163,0.063,1405,64.2,60,45.1,1285,0.132,0.105,0.0524,321,60.7,47.2,29.6,247
49,n,Pterocarpus,rohrii,Pterocarpus rohrii,Fabaceae,0.496,0.17262,20.3,27.3,0.129,0.094,0.032,5403,25.4,23.9,19,4450,0.034,0.022,0.0044,338,35.2,32.2,23.2,293
50,y,Erythrina,costaricensi,Erythrina costaricensi,Fabaceae,0.5,-99,9.4,19.4,-99,-99,-99,-99,-99,-99,-99,-99,0.021,0.016,0.0009,142,16.1,19.4,20,125
51,y,Inga,goldmanii,Inga goldmanii,Fabaceae,0.557,0.499075,22.8,51.9,0.118,0.094,0.036,1192,27.1,25,17.7,1009,0.066,0.051,0.0184,180,48.7,46.2,31.6,158
52,y,Tachigali,versicolor,Tachigali versicolor,Fabaceae,0.582,0.105295,32.6,44.9,0.121,0.097,0.035,10339,31.7,30.6,22.9,8756,0.087,0.068,0.0316,346,34.3,24.4,15.1,271
53,y,Inga,sapindoides,Inga sapindoides,Fabaceae,0.612,0.406354,20.7,51.3,0.163,0.12,0.044,645,37.3,31.6,22.7,572,0.058,0.049,0.0173,296,40.7,29.4,17.6,239
54,y,Inga,nobilis,Inga nobilis,Fabaceae,0.645,0.17258,15.2,60.9,0.132,0.101,0.038,2202,20.7,17.5,12,1879,0.041,0.03,0.0113,232,31,22.6,15.3,170
55,y,Inga,umbellifera,Inga umbellifera,Fabaceae,0.665,-99,12.7,56.7,0.118,0.09,0.033,3193,19.1,18,13.3,2685,-99,-99,-99,-99,-99,-99,-99,-99
56,y,Lonchocarpus,heptaphyllus,Lonchocarpus heptaphyllus,Fabaceae,0.666,0.045275,30.6,42.2,0.131,0.096,0.035,2235,28.8,26.2,19.5,1857,0.041,0.03,0.0108,553,26.1,21.2,14.9,463
57,y,Andira,inermis,Andira inermis,Fabaceae,0.683,0.469267,20.8,45.2,0.092,0.066,0.024,871,14.8,12.6,9.1,714,0.034,0.018,0.004,144,10.3,19,12,117
58,y,Platypodium,elegans,Platypodium elegans,Fabaceae,0.703,0.334896,35.1,36.1,-99,-99,-99,-99,-99,-99,-99,-99,0.045,0.035,0.0087,174,19.4,15.7,14.1,142
59,y,Platymiscium,pinnatum,Platymiscium pinnatum,Fabaceae,0.761,0.1452,29.7,33.4,-99,-99,-99,-99,-99,-99,-99,-99,0.035,0.025,0.0077,249,20.4,15.2,10.9,211
60,y,Swartzia,simplex_var.,Swartzia simplex_var.,Fabaceae,0.773,-99,17.1,76.3,0.088,0.065,0.023,9540,8.9,7.3,6,7518,0.027,0.019,0.0068,998,7.2,6.5,3.8,796
61,y,Swartzia,simplex_var.,Swartzia simplex_var.,Fabaceae,0.784,0.849488,14.2,87.8,0.079,0.058,0.02,10532,6.6,6,4.8,8434,0.022,0.016,0.0044,568,7.1,4.5,3.4,445
62,n,Casearia,aculeata,Casearia aculeata,Flacourtiace,0.69,0.002075,13.1,50.8,0.113,0.086,0.029,1402,26.3,22.8,18.6,1135,-99,-99,-99,-99,-99,-99,-99,-99
63,n,Casearia,arborea,Casearia arborea,Flacourtiace,0.562,0.00115,22.5,27.5,-99,-99,-99,-99,-99,-99,-99,-99,0.056,0.038,0.0156,461,38.1,29.2,18.4,392
